subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
st32,HI,1,5/14/21,15:32:25,15:32:25,15,32,25,0.03,Make electrical flaw: Sweep Control Circuit,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:32:25,15,32,25,0.04,Start (High Fidelity Sim),,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:32:41,15,32,41,15.87,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:00,15,33,0,35.44,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:03,15,33,3,38.3,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:04,15,33,4,39.39,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:18,15,33,18,53.74,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:20,15,33,20,55.4,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:21,15,33,21,56.5,Swing front panel: 0.7% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:24,15,33,24,59.02,Swing front panel: 1.9% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:27,15,33,27,62.25,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:29,15,33,29,64.58,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:30,15,33,30,65.3,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:41,15,33,41,76.54,Swing front panel: 81% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:46,15,33,46,81.76,Move drawer: 0% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:49,15,33,49,84.01,Move drawer: 3.2% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:33:53,15,33,53,88.63,Move drawer: 83.4% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:34:08,15,34,8,103,Move drawer: 95.4% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:34:12,15,34,12,107.19,Move drawer: 0% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:34:14,15,34,14,109.36,Move drawer: 21.4% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:34:30,15,34,30,124.97,Move drawer: 22.4% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:34:33,15,34,33,128.1,Move drawer: 80.4% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:09,15,35,9,164.04,Click on: 'Gate Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:11,15,35,11,166.74,Cancel disconnect: 'Gate Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:13,15,35,13,167.91,Click on: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:14,15,35,14,168.89,Cancel disconnect: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:18,15,35,18,173.33,Swing front panel: 97.6% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:26,15,35,26,181.26,Swing front panel: 100% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:28,15,35,28,183.18,Swing front panel: 46.4% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:29,15,35,29,184.81,Swing front panel: 70.6% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:32,15,35,32,187.44,Move drawer: 95.4% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:35,15,35,35,190.13,Move drawer: -8.3% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:35:38,15,35,38,193.58,Move drawer: 95.4% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st32,HI,1,5/14/21,15:32:25,15:36:03,15,36,3,217.99,Click on: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
