subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
st18,HI,1,5/21/21,15:48:22,15:48:22,15,48,22,0.08,Make electrical flaw: Sweep Control Circuit,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:48:22,15,48,22,0.09,Start (High Fidelity Sim),,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:48:39,15,48,39,16.38,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:48:42,15,48,42,19.18,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:48:42,15,48,42,19.59,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:48:46,15,48,46,23.18,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:48:47,15,48,47,24.71,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:48:53,15,48,53,30.69,Swing front panel: 39.4% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:12,15,49,12,49.69,Move drawer: 96.6% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:16,15,49,16,53.88,Click on: 'Sweep Generator Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:18,15,49,18,55.91,Cancel disconnect: 'Sweep Generator Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:18,15,49,18,55.94,Move drawer: 95.4% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:24,15,49,24,61.67,Move drawer: 8.2% open,Processor,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:28,15,49,28,65.19,Move drawer: 95.4% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:29,15,49,29,67.05,Move drawer: 90.8% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:33,15,49,33,70.2,Click on: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:34,15,49,34,71.74,Cancel disconnect: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:49:34,15,49,34,71.76,Move drawer: 90.8% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:17,15,50,17,114.16,Move drawer: 97.5% open,Processor,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:28,15,50,28,125.85,Move drawer: 95.1% open,Tracker,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:31,15,50,31,128.64,Move drawer: 98.7% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:37,15,50,37,134.41,Move drawer: 96.9% open,Synchronizer,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:42,15,50,42,139.81,Move drawer: 11.4% open,Synchronizer,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:43,15,50,43,141.12,Click on: 'Frequency Synthesizer',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:45,15,50,45,142.17,Cancel disconnect: 'Frequency Synthesizer',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:46,15,50,46,143.28,Move drawer: 6.1% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:50:49,15,50,49,146.73,Move drawer: -2.1% open,Tracker,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:00,15,51,0,157.89,Click on: 'Local Oscillator',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:01,15,51,1,158.84,Swing front panel: 100% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:02,15,51,2,159.59,Cancel disconnect: 'Local Oscillator',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:02,15,51,2,159.61,Swing front panel: 100% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:06,15,51,6,164.08,Move drawer: 18% open,Processor,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:08,15,51,8,165.6,Move drawer: 8.9% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:10,15,51,10,167.25,Move drawer: -1.4% open,Processor,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:17,15,51,17,174.9,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:18,15,51,18,175.74,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:28,15,51,28,185.97,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:30,15,51,30,187.15,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st18,HI,1,5/21/21,15:48:22,15:51:30,15,51,30,187.98,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
