subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
st17,LO,1,5/11/21,8:47:05,8:47:05,20,47,5,0.04,Make electrical flaw: AFC Amplifier,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st17,LO,1,5/11/21,8:47:05,8:47:05,20,47,5,0.04,Start,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st17,LO,1,5/11/21,8:47:05,8:47:05,20,47,5,0.04,Change tab,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st17,LO,1,5/11/21,8:47:05,8:47:09,20,47,9,4.22,Change tab,Processor,AFC-Amplifier-(electrical),,,0,1,0
st17,LO,1,5/11/21,8:47:05,8:47:28,20,47,28,23.85,Click node: 'Control Circuit',Processor,AFC-Amplifier-(electrical),,,0,1,0
st17,LO,1,5/11/21,8:47:05,8:47:34,20,47,34,29.2,Replaced unnecessarily Control Circuit (electrical),Processor,AFC-Amplifier-(electrical),,Control-Circuit-(electrical),1,1,1
st17,LO,1,5/11/21,8:47:05,8:47:50,20,47,50,44.99,Change tab,Front Panel,AFC-Amplifier-(electrical),,Control-Circuit-(electrical),1,1,1
st17,LO,1,5/11/21,8:47:05,8:48:01,20,48,1,56.17,Change tab,Tracker,AFC-Amplifier-(electrical),,Control-Circuit-(electrical),1,1,1
st17,LO,1,5/11/21,8:47:05,8:48:02,20,48,2,57.75,Change tab,Processor,AFC-Amplifier-(electrical),,Control-Circuit-(electrical),1,1,1
st17,LO,1,5/11/21,8:47:05,8:48:10,20,48,10,65.53,Click node: 'Video Detector',Processor,AFC-Amplifier-(electrical),,Control-Circuit-(electrical),1,1,1
st17,LO,1,5/11/21,8:47:05,8:48:11,20,48,11,66.6,Replaced unnecessarily Video Detector (electrical),Processor,AFC-Amplifier-(electrical),,Control-Circuit-(electrical) Video-Detector-(electrical),2,1,2
st17,LO,1,5/11/21,8:47:05,8:48:12,20,48,12,67.85,Change tab,Front Panel,AFC-Amplifier-(electrical),,Control-Circuit-(electrical) Video-Detector-(electrical),2,1,2
st17,LO,1,5/11/21,8:47:05,8:48:14,20,48,14,69.77,Change tab,Tracker,AFC-Amplifier-(electrical),,Control-Circuit-(electrical) Video-Detector-(electrical),2,1,2
st17,LO,1,5/11/21,8:47:05,8:48:15,20,48,15,70.64,Change tab,Processor,AFC-Amplifier-(electrical),,Control-Circuit-(electrical) Video-Detector-(electrical),2,1,2
st17,LO,1,5/11/21,8:47:05,8:48:17,20,48,17,72.63,Click node: 'Video Amplifier',Processor,AFC-Amplifier-(electrical),,Control-Circuit-(electrical) Video-Detector-(electrical),2,1,2
st17,LO,1,5/11/21,8:47:05,8:48:18,20,48,18,73.65,Replaced unnecessarily Video Amplifier (electrical),Processor,AFC-Amplifier-(electrical),,Control-Circuit-(electrical) Video-Detector-(electrical) Video-Amplifier-(electrical),3,1,3
st17,LO,1,5/11/21,8:47:05,8:48:32,20,48,32,87.1,Click node: 'AFC Amplifier',Processor,AFC-Amplifier-(electrical),,Control-Circuit-(electrical) Video-Detector-(electrical) Video-Amplifier-(electrical),3,1,3
st17,LO,1,5/11/21,8:47:05,8:48:33,20,48,33,88.25,Fixed AFC Amplifier (electrical),Processor,,AFC-Amplifier-(electrical),Control-Circuit-(electrical) Video-Detector-(electrical) Video-Amplifier-(electrical),4,0,3
st17,LO,1,5/11/21,8:47:05,8:48:36,20,48,36,91.88,Change tab,Front Panel,,AFC-Amplifier-(electrical),Control-Circuit-(electrical) Video-Detector-(electrical) Video-Amplifier-(electrical),4,0,3
st17,LO,1,5/11/21,8:47:05,8:48:40,20,48,40,95.35,Submit?,Front Panel,,AFC-Amplifier-(electrical),Control-Circuit-(electrical) Video-Detector-(electrical) Video-Amplifier-(electrical),4,0,3
st17,LO,1,5/11/21,8:47:05,8:48:42,20,48,42,97.12,Submit Confirm,Front Panel,,AFC-Amplifier-(electrical),Control-Circuit-(electrical) Video-Detector-(electrical) Video-Amplifier-(electrical),4,0,3
st17,LO,2,5/11/21,8:48:46,8:48:46,20,48,46,0,Make electrical flaw: Sweep Generator Circuit,Front Panel,Sweep-Generator-Circuit-(electrical),,,0,1,0
st17,LO,2,5/11/21,8:48:46,8:48:46,20,48,46,0,Start,Front Panel,Sweep-Generator-Circuit-(electrical),,,0,1,0
st17,LO,2,5/11/21,8:48:46,8:48:56,20,48,56,9.8,Change tab,Indicator,Sweep-Generator-Circuit-(electrical),,,0,1,0
st17,LO,2,5/11/21,8:48:46,8:49:03,20,49,3,17.15,Change tab,Processor,Sweep-Generator-Circuit-(electrical),,,0,1,0
st17,LO,2,5/11/21,8:48:46,8:49:05,20,49,5,18.32,Change tab,Indicator,Sweep-Generator-Circuit-(electrical),,,0,1,0
