subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
ST25,LO,1,5/11/21,12:45:29,12:45:29,0,45,29,0.05,Make electrical flaw: AFC Amplifier,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
ST25,LO,1,5/11/21,12:45:29,12:45:29,0,45,29,0.05,Start,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
ST25,LO,1,5/11/21,12:45:29,12:45:29,0,45,29,0.05,Change tab,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
ST25,LO,1,5/11/21,12:45:29,12:46:51,0,46,51,82.61,Change tab,Synchronizer,AFC-Amplifier-(electrical),,,0,1,0
ST25,LO,1,5/11/21,12:45:29,12:46:56,0,46,56,87.66,Change tab,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
ST25,LO,1,5/11/21,12:45:29,12:47:03,0,47,3,94.65,Change tab,Transmitter,AFC-Amplifier-(electrical),,,0,1,0
ST25,LO,1,5/11/21,12:45:29,12:47:10,0,47,10,101.06,Click node: 'Stage 2 Modulator',Transmitter,AFC-Amplifier-(electrical),,,0,1,0
ST25,LO,1,5/11/21,12:45:29,12:47:12,0,47,12,103.16,Replaced unnecessarily Stage 2 Modulator (electrical),Transmitter,AFC-Amplifier-(electrical),,Stage-2-Modulator-(electrical),1,1,1
ST25,LO,1,5/11/21,12:45:29,12:47:36,0,47,36,126.99,Click node: 'RF Amplifier 2',Transmitter,AFC-Amplifier-(electrical),,Stage-2-Modulator-(electrical),1,1,1
ST25,LO,1,5/11/21,12:45:29,12:47:37,0,47,37,128.7,Replaced unnecessarily RF Amplifier 2 (electrical),Transmitter,AFC-Amplifier-(electrical),,Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical),2,1,2
ST25,LO,1,5/11/21,12:45:29,12:47:44,0,47,44,135.18,Click node: 'Stage 1 Modulator',Transmitter,AFC-Amplifier-(electrical),,Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical),2,1,2
ST25,LO,1,5/11/21,12:45:29,12:47:45,0,47,45,136.71,Replaced unnecessarily Stage 1 Modulator (electrical),Transmitter,AFC-Amplifier-(electrical),,Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical) Stage-1-Modulator-(electrical),3,1,3
ST25,LO,1,5/11/21,12:45:29,12:47:47,0,47,47,138.01,Click node: 'RF Amplifier 1',Transmitter,AFC-Amplifier-(electrical),,Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical) Stage-1-Modulator-(electrical),3,1,3
ST25,LO,1,5/11/21,12:45:29,12:47:48,0,47,48,139.43,Replaced unnecessarily RF Amplifier 1 (electrical),Transmitter,AFC-Amplifier-(electrical),,Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical) Stage-1-Modulator-(electrical) RF-Amplifier-1-(electrical),4,1,4
