subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
st51,LO,1,6/15/21,15:05:01,15:05:01,15,5,1,0.06,Make electrical flaw: Sweep Control Circuit,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:05:01,15,5,1,0.07,Start (High Fidelity Sim),,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:05:23,15,5,23,22.51,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:05:39,15,5,39,38.54,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:05:39,15,5,39,38.85,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:06:07,15,6,7,66.54,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:06:12,15,6,12,71.83,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:06:27,15,6,27,86.39,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:06:29,15,6,29,88.72,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:06:32,15,6,32,91.11,Swing front panel: 40.1% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:06:53,15,6,53,112.36,Move drawer: 70.9% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:06:56,15,6,56,115.4,Move drawer: 64.8% open,Synchronizer,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:06:59,15,6,59,118.2,Move drawer: 29.3% open,Synchronizer,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:07:01,15,7,1,120.93,Move drawer: 9.6% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:07:04,15,7,4,123.1,Move drawer: -2.9% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:07:05,15,7,5,124.73,Move drawer: 9.7% open,Synchronizer,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:07:09,15,7,9,128.58,Move drawer: -3.3% open,Synchronizer,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:07:13,15,7,13,132.24,Move drawer: -3.3% open,Tracker,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:07:16,15,7,16,135.86,Move drawer: -2.6% open,Processor,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:07:23,15,7,23,142.17,Move drawer: 58.6% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:07:56,15,7,56,175.69,Move drawer: 0% open,Processor,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:03,15,8,3,182.07,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:04,15,8,4,182.97,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:26,15,8,26,205.39,Pick Up LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:26,15,8,26,205.51,Drop LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:32,15,8,32,211.54,Pick Up LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:37,15,8,37,216.18,Drop LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:38,15,8,38,216.98,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:39,15,8,39,218.22,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:43,15,8,43,222.51,Pick Up LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:43,15,8,43,222.56,Drop LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:46,15,8,46,225.93,Pick Up LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:47,15,8,47,226.15,Drop LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:47,15,8,47,226.66,Pick Up LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:48,15,8,48,227.41,Drop LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:50,15,8,50,229.93,Pick Up LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:08:52,15,8,52,231.25,Drop LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:09:04,15,9,4,243.32,Pick Up LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:09:13,15,9,13,252.63,Drop LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:09:23,15,9,23,262.77,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:09:25,15,9,25,264.14,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:09:25,15,9,25,264.16,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:09:25,15,9,25,264.45,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:09:36,15,9,36,275.4,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:01,15,10,1,300.06,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:01,15,10,1,300.81,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:02,15,10,2,301.56,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:04,15,10,4,303.42,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:08,15,10,8,307.86,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:13,15,10,13,312.49,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:14,15,10,14,313.48,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:22,15,10,22,321.25,Click on: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:24,15,10,24,323.09,Disconnect LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:27,15,10,27,326.92,Pick Up LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:29,15,10,29,328.85,Drop LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:35,15,10,35,334.23,Cancel connect: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:35,15,10,35,334.24,Move drawer: 58.6% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:36,15,10,36,335.68,Pick Up LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:36,15,10,36,335.78,Drop LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:38,15,10,38,336.96,Pick Up LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:39,15,10,39,337.97,Drop LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:42,15,10,42,341.84,Connect LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:52,15,10,52,351.12,Click on: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:54,15,10,54,353.2,Disconnect LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:57,15,10,57,356.18,Cancel connect: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:10:57,15,10,57,356.22,Move drawer: 58.6% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:00,15,11,0,358.95,Click on: 'Sweep Generator Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:01,15,11,1,360.59,Disconnect LRU: 'Sweep Generator Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:04,15,11,4,363.23,Move drawer: 58.6% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:05,15,11,5,364.1,Click on: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:11,15,11,11,370.03,Disconnect LRU: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:14,15,11,14,373.34,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:15,15,11,15,374.36,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:17,15,11,17,376.91,Pick Up LRU: 'Mixer Detector [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:19,15,11,19,378.42,Drop LRU: 'Mixer Detector [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:39,15,11,39,398.84,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:40,15,11,40,398.96,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:40,15,11,40,399.63,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:48,15,11,48,407.76,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:50,15,11,50,409.05,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:11:55,15,11,55,413.99,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:06,15,12,6,425.48,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:06,15,12,6,425.58,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:06,15,12,6,425.73,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:06,15,12,6,425.83,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:07,15,12,7,426.13,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:08,15,12,8,427.38,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:11,15,12,11,430.58,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:11,15,12,11,430.7,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:22,15,12,22,441.9,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:23,15,12,23,442.21,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:24,15,12,24,443.79,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:25,15,12,25,444.76,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:27,15,12,27,446.14,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:27,15,12,27,446.94,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:29,15,12,29,448.53,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:30,15,12,30,449.77,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:33,15,12,33,452.75,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:35,15,12,35,454.1,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:49,15,12,49,468.55,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:51,15,12,51,470.03,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:52,15,12,52,471.26,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:54,15,12,54,473.06,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:56,15,12,56,475.06,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:12:58,15,12,58,476.97,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:13:00,15,13,0,479.09,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:13:02,15,13,2,480.96,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:13:04,15,13,4,483.67,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:13:06,15,13,6,485.8,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:13:07,15,13,7,486.87,Submit?,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,1,6/15/21,15:05:01,15:13:12,15,13,12,491.13,Submit Confirm,,Sweep-Control-Circuit-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:13:14,15,13,14,0,Make electrical flaw: AFC Mixer,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:13:14,15,13,14,0,Start (High Fidelity Sim),,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:13:14,15,13,14,0.02,Leave Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:13:34,15,13,34,19.91,Move to Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:13:39,15,13,39,25.11,Swing front panel: 37.4% open,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:13:44,15,13,44,30.03,Move drawer: 54.1% open,Processor,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:13:54,15,13,54,40.45,Move drawer: 88.3% open,Processor,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:14:27,15,14,27,73.56,Move drawer: 0% open,Tracker,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:14:30,15,14,30,75.91,Click on: 'AFC Mixer',,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:14:31,15,14,31,77.21,Disconnect LRU: 'AFC Mixer',,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:14:33,15,14,33,78.8,Pick Up LRU: 'AFC Mixer',,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:14:35,15,14,35,80.65,Drop LRU: 'AFC Mixer',,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:14:39,15,14,39,84.85,Leave Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:14:39,15,14,39,85.13,Move to Spare Parts Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:15:05,15,15,5,111.09,Leave Spare Parts Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:15:06,15,15,6,111.6,Move to Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:15:06,15,15,6,112.25,Leave Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:15:19,15,15,19,124.81,Move to Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:15:19,15,15,19,125.51,Leave Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
st51,LO,2,6/15/21,15:13:14,15:15:20,15,15,20,125.94,Move to Spare Parts Table,,AFC-Mixer-(electrical),,,0,1,0
